TR37,TR7,TR2,TR100,TR101,TR200
25.9392395,32.78855133,35.81310272,160.6334076,29.62837219,152.5769653
26.15625,32.89705658,35.81310272,160.5520172,29.72332001,152.5769653
26.14268684,33.03269196,35.82666779,160.5927124,29.73687553,152.5498352
26.00704956,32.85636902,35.70460129,160.4299622,29.73687553,152.4413452
25.5459137,32.88349152,35.84022522,160.5384674,29.76400757,152.4413452
25.15258026,32.88349152,35.85379028,160.5248871,29.7504425,152.4006653
24.71856689,32.80211639,35.71816254,160.5927124,29.64193726,152.3328247
24.2574234,32.59867096,35.65034485,160.7012177,29.51987648,152.346405
24.24386597,32.5579834,35.58252716,160.6741028,29.43848991,152.2514648
24.21673584,32.19178009,35.25701904,160.497757,29.20792389,152.1700745
24.31167603,32.19178009,34.94506836,160.5113373,29.04516602,152.1565247
24.40661621,31.94764519,34.67380524,160.5384674,29.01803398,152.1158142
24.2981205,31.90695953,34.61955261,160.5248871,28.95022583,152.0073242
24.31167603,31.74420166,34.37541962,160.5248871,28.85528564,151.9395142
24.32524109,31.70351601,34.33473206,160.4435272,28.76033783,151.9801941
24.35236359,31.54075623,34.40254974,160.5248871,28.70608521,151.9530792
24.2981205,31.58144379,34.4432373,160.5520172,28.70608521,151.9530792
24.24386597,31.59500885,34.42967224,160.6605225,28.63827324,151.9530792
24.12179375,31.50006866,34.48392487,160.6876373,28.58402252,151.858139
24.02007294,31.50684738,34.46358109,160.8232727,28.50942612,151.7564087
23.94547272,31.43225288,34.40254974,160.8232727,28.39414215,151.7225037
23.91835022,31.28306007,34.2533493,160.836853,28.33988953,151.6546783
23.97260284,31.31018257,34.13128662,160.8639832,28.32632637,151.7496338
24.1082325,31.20167351,34.06347656,160.9724731,28.27206993,151.6411438
24.56937408,31.21524048,33.95497131,160.9588928,28.24494171,151.6004333
24.78638458,31.0524826,33.95497131,160.891098,28.16356659,151.5733032
25.46453094,31.36443329,33.96853638,160.8639832,28.24494171,151.5326385
