TR37,TR7,TR2,TR100,TR101,TR200
27.71598816,34.95863724,37.23722076,165.299057,32.27315521,154.0688934
27.78380585,35.04000854,37.18296814,164.8243561,32.25959778,154.0553589
27.74311066,34.95863724,37.34572983,164.5124207,32.17821503,154.0282135
27.78380585,34.95863724,37.31859589,164.3496399,32.19178009,154.0688934
27.71598816,34.86369324,37.37284088,164.0648193,32.20534515,154.0960236
27.6753006,34.85012817,37.31859589,163.834259,32.19178009,154.1773987
27.66173553,35.04000854,37.49491119,163.7393188,32.19178009,154.1638641
27.56679535,35.02644348,37.38640213,163.5087585,32.15109253,154.2588043
27.15991211,34.9315033,37.48134613,163.2103729,32.11040497,154.3537445
27.0107193,34.72805786,37.41352844,163.0611725,32.02902222,154.3130341
26.91577911,34.72805786,37.30503464,162.9255371,32.02902222,154.3401642
26.94290161,34.59243011,37.39997101,162.7356567,31.89339447,154.2723541
26.90221405,34.40254974,37.26434326,162.7492218,31.82557678,154.3266144
26.86152649,34.4432373,37.12871552,162.7763672,31.77132416,154.2723541
26.83439827,34.40254974,37.12871552,162.6813965,31.68995094,154.2588043
26.82083893,34.30759811,36.95240021,162.6000214,31.60856819,154.190979
26.94290161,34.09059906,36.81676483,162.3966064,31.60856819,154.0960236
27.02428436,34.022789,36.91170502,162.2338409,31.52718925,154.0688934
27.02428436,34.07703018,36.89814758,162.1660004,31.5136261,154.0553589
26.98359299,34.00244522,36.79642105,162.1456757,31.54753876,154.0010986
26.86152649,33.92784882,36.70825958,161.9354553,31.44581604,153.9061432
26.7937088,34.022789,36.8303299,161.921875,31.44581604,153.7705231
26.7665863,33.9956665,36.91170502,161.8676147,31.39156342,153.7840729
26.75301933,33.96853638,36.73538971,161.8269348,31.39156342,153.634903
26.71232986,33.80578232,36.76929474,161.813385,31.2898407,153.6823578
26.73945618,33.79222107,36.59976578,161.8269348,31.29662132,153.6620026
26.72588921,33.81934357,36.55906677,161.745575,31.20167351,153.634903
26.78014183,33.88716507,36.6133194,161.6913147,31.20167351,153.5806427
26.78014183,33.87359619,36.54551315,161.6777344,31.20167351,153.6077576
26.86152649,33.87359619,36.55906677,161.5285645,31.16098785,153.634903
26.90221405,33.77865601,36.46412659,161.3115387,31.17455292,153.634903
27.02428436,33.84647369,36.46412659,161.2572937,31.13386536,153.6213226
27.05140686,33.87359619,36.5861969,161.2165985,31.16098785,153.6077576
27.06497192,33.86003113,36.64044952,161.0674133,31.17455292,153.5806427
26.99715424,33.79222107,36.57263184,161.1080933,31.13386536,153.594223
27.0107193,33.73796844,36.59976578,161.0402832,31.14742279,153.5128174
26.91577911,33.79222107,36.70825958,161.0538177,31.17455292,153.4992676
26.87508392,33.79222107,36.81676483,161.0402832,31.16098785,153.4857025
26.78014183,33.81934357,36.66757202,161.0945435,31.16098785,153.5128174
26.69198608,33.81256104,36.68113708,161.1623383,31.11351776,153.3975372
26.68520355,33.87359619,36.68113708,161.1080933,31.07961273,153.3093872
26.65808105,33.8057785,36.5861969,161.0267029,30.97110748,153.2958374
26.65808105,33.75152588,36.57263184,160.945343,30.98467445,153.2687073
26.63095093,33.76509094,36.55906677,160.8639832,30.91685677,153.1737366
26.6987648,33.71762085,36.48447418,160.8639832,30.84903717,153.0720367
26.73945618,33.64302826,36.35562134,160.8232727,30.84903717,153.0381012
26.82083893,33.57521057,36.23355865,160.8232727,30.88973236,153.0110016
26.90221405,33.58877563,36.27424622,160.9046631,30.84903717,152.9431763
26.94290161,33.60233307,36.30136871,161.921875,30.87616539,152.4820251
26.82083893,33.87359619,36.45056534,165.1634216,31.03892517,150.8137817
